TreeMass [M_sol],z,n_projected 1.00E-02[MPC] < r_2d < 2.00E-02[MPC] 1.0E+08 < M < 1.0E+09 mass_bound,"n_(projected,sd) 1.00E-02[MPC] < r_2d < 2.00E-02[MPC] 1.0E+08 < M < 1.0E+09 mass_bound",n_projected 1.00E-02[MPC] < r_2d < 2.00E-02[MPC] 1.0E+08 < M < 1.0E+09 mass_infall,"n_(projected,sd) 1.00E-02[MPC] < r_2d < 2.00E-02[MPC] 1.0E+08 < M < 1.0E+09 mass_infall",n_total 1.0E+08 < M < 1.0E+09 mass_bound,n_total 1.0E+08 < M < 1.0E+09 mass_infall,host halo profile scale radius [Mpc],rvir [Mpc^-2]
31622800000000.0,0.19999999999999998,11.68452380952381,3.948914680541353,561.6681547619048,110.34661973019749,3576.160714285714,27142.120535714286,0.12398424132362991,0.7414090958716316
26366500000000.0,0.19999999999999998,10.65327380952381,3.656414128920739,519.6071428571429,94.5081903552157,2986.2098214285716,22627.23660714286,0.11214319705029044,0.6978160027433667
21983900000000.0,0.19999999999999998,9.724702380952381,3.6372064479152453,472.8794642857143,87.60645935741029,2475.0401785714284,18785.370535714286,0.1052751479452715,0.6567881793172919
18329800000000.0,0.19999999999999998,9.431547619047619,3.6768361121147994,441.1488095238095,89.26876485946889,2075.5178571428573,15759.13392857143,0.09858125704119695,0.6181721955748779
15283100000000.0,0.19999999999999998,8.543154761904763,3.344493633799434,396.2738095238095,78.1435417906225,1735.4464285714287,13159.57142857143,0.08923141009657665,0.5818262465315829
12742700000000.0,0.19999999999999998,8.183035714285714,3.2275982997329105,362.3199404761905,67.7212446971391,1447.9375,10925.84375,0.08013026885907447,0.5476145945282671
10624700000000.0,0.19999999999999998,7.34375,3.1584150989855657,328.1205357142857,59.52439521661254,1198.888392857143,9056.080357142857,0.07359507886063073,0.5154196337225738
8858670000000.0,0.19999999999999998,6.903273809523809,3.0474210402333504,303.11160714285717,51.67925100387827,1017.3125,7653.830357142857,0.07248194736479717,0.4851160056816055
7386200000000.0,0.19999999999999998,6.684523809523809,2.8725711913602954,279.0267857142857,48.84614325713893,847.8080357142857,6381.982142857143,0.0629835797718141,0.45659383813214877
6158480000000.0,0.19999999999999998,6.086309523809524,2.6052242750371093,249.75744047619048,45.95788481623334,711.4151785714286,5331.34375,0.05829416170261455,0.42974545657728086
